[0:00-0:02] 大家好,欢迎来到YouTube大佬偷镜
[11:07-11:08] 那个是自媒体的老百姓讲
[11:09-11:11] 前天不是正好格林斯班走吗
[11:11-11:12] 沈香你可以理解
[11:12-11:12] 一个时代
[11:12-11:13] 就是一个时代的结束
[11:13-11:14] 其实凯文沃斯
[11:14-11:16] 也代表着一个完整的新时代
[11:16-11:18] 整个框架其实都不一样
[11:18-11:20] 其实就是标准的佩雷斯产业生命周期
[11:20-11:21] 对一个标准
[11:21-11:22] 光等于说在早期
[11:22-11:23] 太早期
[11:23-11:24] 这个凤凰老师也很了解
[11:24-11:27] 因为他21年以前也属于早期
[11:27-11:28] 22年杀完孤职
[11:28-11:32] 然后23 24进入到最确定的阶段
[11:32-11:35] 然后因为他24年7月份闪崩
[11:35-11:36] 进入老灯
[11:36-11:38] 就进入了真正的老灯谷
[11:38-11:39] 然后他进入到老灯了以后
[11:39-11:40] 因为KFX支出
[11:40-11:43] 就会沿着机柜往上游去翻
[11:43-11:45] 所以这个时候无论是内存
[11:45-11:46] 这些上游的硬件
[11:46-11:48] 就开始陆陆续续启动
[11:48-11:50] 陆续续启动了以后
[11:50-11:51] 现在这些
[11:51-11:54] 如果我们单纯从市场
[11:54-11:56] 因为我不是行演
[11:56-11:57] 我们不去做这个行演
[11:57-11:59] 但是我们会观察产业链
[11:59-12:00] 傅老师你们在交易框架里面
[12:00-12:02] 也会把AI资产当成一类
[12:02-12:03] 半导体会当成一类
[12:03-12:04] 不 我们是完全的
[12:04-12:06] 按照工业体系去考量的
[12:06-12:08] 它本质上就是一场工业革命
[12:08-12:09] 所以它的整个产业链的发展
[12:09-12:11] 跟工业体系的产业链发展
[12:11-12:13] 投资方式没有任何差异性
[12:13-12:14] 我给你举个例子
[12:14-12:16] 2001年
[12:16-12:18] 当时林一夫和谢国忠
[12:18-12:20] 当时在中国讨论最多的话题
[12:20-12:22] 就是是否要做大规模基建
[12:22-12:24] 那么林一夫的观点是
[12:24-12:26] 中国有空间可以做大规模的基建
[12:26-12:28] 开拍子投入
[12:28-12:29] 而谢国忠的意思是
[12:29-12:30] 这个时候如果做
[12:30-12:32] 可能会看不到车跑
[12:32-12:35] 那意思是可能会有盖武的问题
[12:35-12:37] 到2002年十五大
[12:37-12:38] 就是两会开完
[12:38-12:39] 拍板定性
[12:39-12:40] 中国要搞基建
[12:40-12:41] 2003年
[12:41-12:44] 我们的配套资金专项债
[12:44-12:46] 然后中央划拨的资金
[12:46-12:49] 开始到项目上去
[12:49-12:50] 那么2003年的整个
[12:50-12:54] 我们说包括叫公路 铁路 水利
[12:54-12:55] 那些投资开始上
[12:55-12:57] 然后到2004年
[12:57-12:58] 在A股市场上
[12:58-12:59] 大家的投资
[12:59-13:02] 就是叫海罗水泥
[13:02-13:03] 宝港股份
[13:03-13:05] 中石油
[13:05-13:06] 三一重工
[13:06-13:08] 钱已经划拨到了项目上
[13:08-13:10] 你就立刻的要买水泥
[13:10-13:11] 买钢筋 买利钦
[13:11-13:12] 对吧
[13:12-13:12] 那么你立刻的
[13:12-13:15] 就要去买这些工程机械设备
[13:15-13:16] 来去铺路
[13:16-13:18] 那么他们作为基建投资的
[13:18-13:20] 上游的硬件
[13:20-13:22] 那么就带来了非常明确的
[13:22-13:23] 叫确定性
[13:23-13:24] 所以你看这个周期
[13:24-13:26] 我告诉你就是AI的周期
[13:26-13:27] 一模一样
[13:27-13:29] 在2021年以前
[13:29-13:30] 你处在早期
[13:30-13:31] 就2015年16年
[13:31-13:32] 大家是
[13:32-13:34] 我们知道要有一个科技革命
[13:34-13:36] 但是我们不知道科技革命是谁
[13:36-13:37] 或者是哪个
[13:37-13:38] 当时典型的
[13:38-13:40] 我估计载入史册的将来
[13:40-13:42] 应该是木头姐
[13:42-13:43] 在木头姐当时
[13:43-13:45] 她是从卖方跳出来
[13:45-13:47] 但是她跳出来的一个合应逻辑
[13:47-13:48] 她做对的一件事情
[13:48-13:49] 就是她知道
[13:49-13:51] 需要一场基础革命了
[13:51-13:52] 当时我记得她很经典的那页PPT
[13:52-13:53] 就是
[13:53-13:54] 未来到底是什么
[13:54-13:55] 我不知道
[13:55-13:57] 但是能是什么的可能性
[13:57-13:58] 我全在那一页PPT了
[13:58-13:59] 她把人类几乎
[13:59-14:01] 未来可能路径全放在上头了
[14:01-14:02] 你把钱给我
[14:02-14:03] 我来帮你们投
[14:03-14:05] 这就是ARKK基金
[14:05-14:06] 所以当时我看社交媒体上
[14:06-14:07] 大家都管它叫
[14:07-14:08] 女版巴菲特
[14:08-14:09] 我心里喜欢
[14:09-14:10] 我说她跟巴菲特
[14:10-14:11] 完全两回事
[14:11-14:12] 我说她叫女版孙正义
[14:12-14:14] 可能合制的
[14:14-14:15] 她是个二级市场的孙正义
[14:15-14:17] 对 她是个二级市场里的孙正义
[14:17-14:18] 所以她的整个基金表现
[14:18-14:19] 会在
[14:19-14:21] 这个佩里斯产业声明周期的早期
[14:21-14:22] 也就是大家
[14:22-14:24] 这个是有梦想
[14:24-14:25] 有理想
[14:25-14:26] 有估值的时候
[14:26-14:28] 她的整个基金回报是最好的
[14:28-14:29] 这个时间大概是什么时间
[14:29-14:31] 大概就到21年的年终
[14:31-14:33] 那个时候英伟达刚刚的占到
[14:33-14:34] 1万亿左右
[14:34-14:35] 然后完了以后
[14:35-14:36] 这个时候英伟达
[14:36-14:39] 其实也处在一个光模块的情况
[14:39-14:41] 就是说大家觉得她未来有戏
[14:41-14:43] 那么现在给了很高的估值
[14:43-14:44] 所以当时你如果看英伟达
[14:44-14:46] 其实英伟达第一次占到
[14:46-14:46] 1万亿以上
[14:46-14:47] 其实靠的是估值推动
[14:47-14:48] 第一我记得是200多
[14:48-14:49] 对
[14:49-14:49] 然后在22年
[14:49-14:51] 当时的大宏观环境
[14:51-14:52] 是流动性收紧
[14:52-14:53] 也就是水
[14:53-14:54] 其实所有的投资
[14:54-14:54] 在金融里
[14:54-14:56] 它其实本账还是跟钱有关
[14:56-14:57] 产业加钱
[14:57-14:58] 技术加资本
[14:58-14:59] 这才是合赚
[14:59-15:01] 但22年就属于真空期
[15:01-15:02] 第一
[15:02-15:04] 那个标志性的事件出来了吗
[15:04-15:05] 没有
[15:05-15:06] 就是大家的梦想
[15:06-15:07] 变成现实的事件没出来
[15:07-15:10] 22年就成了一个技术上的真空
[15:10-15:12] 第二22年的流动性收紧
[15:12-15:13] 所以当年你记得
[15:13-15:15] 英伟达跌了67%
[15:15-15:16] 对
[15:16-15:18] 然后木头姐跌了75%
[15:18-15:19] 就整个市场
[15:19-15:21] 杀了一波固执下来
[15:21-15:22] 到2022年底
[15:22-15:23] 23年初
[15:23-15:24] ChadGPD出来
[15:24-15:25] 那个一出出来
[15:25-15:25] 大家发现
[15:26-15:27] 可行了
[15:27-15:28] 就路径确定了
[15:28-15:29] 梦不是梦了
[15:29-15:30] 梦要变成现实了
[15:30-15:33] 英伟达进入到最确定的2324年
[15:33-15:34] 就是最确定的
[15:34-15:34] 所以你看那个时候
[15:34-15:35] 英伟达是
[15:35-15:36] 消化估值
[15:36-15:37] 超低波
[15:37-15:38] 业绩只要一爆
[15:38-15:39] 马上暴涨
[15:39-15:40] 160几
[15:40-15:41] 直接涨到1000多
[15:41-15:41] 对
[15:41-15:42] 那时候就1万亿
[15:42-15:42] 2万亿
[15:42-15:42] 3万亿
[15:42-15:43] 开启了
[15:43-15:46] 那就2324是最好的行景
[15:46-15:47] 这就是佩里斯产业争病周期
[15:47-15:48] 后半段
[15:48-15:50] 那个叫真正的价值阶段
[15:50-15:51] 它的成长阶段
[15:51-15:52] 价值阶段
[15:52-15:52] 然后
[15:53-15:56] 这个过程中24年的7月份
[15:56-15:57] 英伟达闪崩
[15:57-15:59] 我当时是5月份去新加坡做的调研
[15:59-16:03] 调研的是英伟达的场外弃权杠杆
[16:03-16:04] 我为什么去调研这个
[16:04-16:04] 因为你知道
[16:05-16:08] 如果遇到一件确定性的事情的时候
[16:08-16:08] 加杠杆
[16:08-16:09] 人会怎么做
[16:09-16:10] 你贪婪
[16:10-16:11] 就跟今天一样
[16:11-16:11] 对
[16:11-16:12] 你会疯狂的加杠杆
[16:12-16:13] 所以23年24年
[16:13-16:15] 对英伟达就属于最确定阶段
[16:15-16:17] 它的核心矛盾不在于行业
[16:17-16:18] 不在于产业
[16:18-16:18] 不在于公司
[16:18-16:21] 它的核心在于有多少人加了多少杠杆
[16:21-16:22] 所以到24年
[16:22-16:23] 我当时5月份是听到
[16:23-16:25] 很多的这种基金华尔街的一些朋友
[16:25-16:27] 在聊说英伟达可能杠杆过高
[16:27-16:28] 但是没有人知道
[16:29-16:30] 具体数据到底是多少
[16:30-16:31] 所以只能说大家
[16:31-16:32] 挤下去聊一聊
[16:32-16:34] 跟交易商们去沟通一下
[16:34-16:36] 猜一下后面的数字
[16:36-16:38] 我当时24年的年中6月份回到上海
[16:38-16:40] 我跟各家公共基金交流
[16:40-16:40] 我就说
[16:40-16:41] 我给你们带回来个数字
[16:41-16:42] 3万亿
[16:42-16:44] 将近8000亿的场外
[16:44-16:45] 行业我觉得没有任何问题
[16:45-16:48] 但是这个8000亿的杠杆会出问题的
[16:48-16:49] 过了一个半月
[16:49-16:51] 我们管它叫爆金币
[16:51-16:52] 英伟达闪崩
[16:52-16:54] 日本股市当时当天跌10%
[16:54-16:54] 还有印象
[16:54-16:56] 直接就全是爆萃的那种情况
[16:56-16:58] 用了大概不到一周的时间
[16:58-17:00] 把英伟达上面的高杠杆干掉
[17:00-17:01] 微字形回去
[17:01-17:02] 市场微字形
[17:02-17:03] 英伟达微字形
[17:03-17:04] 但是也就从那开始起
[17:04-17:05] 你仔细看英伟达的表现
[17:05-17:06] 就这样
[17:06-17:08] 对就是变得稳如老狗了
[17:08-17:09] 就是老灯谷
[17:09-17:10] 其实我想讲这段故事
[17:10-17:11] 现在谁是
[17:11-17:12] 三星海力士就是
[17:12-17:15] 因为三星海力士在过去的几年
[17:15-17:16] 它就变成了
[17:16-17:17] 当英伟达确定
[17:17-17:18] 当开牌子支出确定
[17:18-17:20] 当数据中心投入确定
[17:20-17:20] 那么很简单
[17:20-17:22] 我上游的所有的硬件
[17:22-17:23] 都变成了最确定
[17:23-17:24] 在最确定性下
[17:24-17:26] 最大的问题永远不是
[17:26-17:28] 就是这个产业的转折点
[17:28-17:30] 永远是杠杆的转折点
[17:30-17:32] 而三星海力士的大问题
[17:32-17:34] 其实非常简单
[17:34-17:37] 刚才加的杠杆太高了
[17:37-17:38] 这个杠杆太高了
[17:38-17:38] 所以说换句话说
[17:38-17:39] 它应该会出现
[17:39-17:42] 24年7月份英伟达的情况
[17:42-17:43] 行业没问题
[17:43-17:44] 产业没问题
[17:44-17:45] 公司没问题
[17:45-17:46] 但高杠杆会出问题
[17:46-17:48] 基本上可能反正砸下一两个月
[17:48-17:49] 要上去
[17:49-17:50] 他如果砸完
[17:50-17:50] 甚至没有
[17:50-17:52] 去完可能几个星期就上去了
[17:52-17:53] 那快的话就甚至是一周
[17:53-17:54] 但是我跟你讲
[17:54-17:55] 那个波动会很快
[17:55-17:56] 非常大
[17:56-17:58] 因为现在韩国的散户杠杆
[17:58-18:00] 大概在5倍平均
[18:00-18:02] 20%就没了
[18:03-18:04] 你都不用去想
[18:04-18:05] 说它多大的跌
[18:05-18:07] 20%它就没了
[18:07-18:08] 实际上就跟当年英伟达一样
[18:08-18:10] 差不多在那闪崩了
[18:10-18:12] 大概10%几就结束了
[18:12-18:12] 因为很简单
