[0:01-0:03] 感谢新浪财经的邀请
[6:38-6:40] 等客观指标来衡量
[6:40-6:43] 也许中国房地产这一轮的调整
[6:43-6:46] 渐进的要接近底部和尾声
[6:46-6:49] 但是接近了不代表
[6:49-6:51] 今年就完全止跌回问
[6:51-6:54] 它最终余下的这段历程
[6:54-6:56] 时间是一年两年还是更长
[6:56-6:58] 从国际经验上也可以看到
[6:58-7:00] 有的国家相对短一点
[7:00-7:02] 五年六年的调整到位
[7:02-7:04] 进入了新周期
[7:04-7:05] 重新均衡了
[7:05-7:07] 但有的经济体调整的慢一点
[7:07-7:09] 长达十几年
[7:09-7:11] 实际上重要的区别之一了
[7:11-7:14] 虽然也有一些人口的城市化的规模
[7:14-7:16] 年龄的变化
[7:16-7:19] 但核心一点也跟政策取向有关
[7:19-7:21] 比如说房地产面临的一些
[7:21-7:22] 库存的情况
[7:22-7:25] 主体融资的情况
[7:25-7:28] 以及老百姓对购房的需求
[7:28-7:30] 特别是考虑到按揭的成本
[7:30-7:32] 跟它租金回报率之间的
[7:32-7:33] 比价的情况
[7:33-7:35] 这里面我们就看到
[7:35-7:38] 其实政策上从收库存
[7:38-7:41] 保主体到贴按揭
[7:41-7:45] 都是有可以进一步发力的空间的
[7:45-7:47] 如果实时到位的话
[7:47-7:49] 有可能根据国际规律
[7:49-7:51] 以及我们当前面临的库存
[7:51-7:54] 逐渐消化的进度
[7:54-7:55] 到了明年
[7:55-7:56] 2027年
[7:56-7:59] 房地产市场也会渐进的起稳
[7:59-8:04] 这是消费重振的重要的一个基础
[8:04-8:06] 但是我们也知道
[8:06-8:07] 大家经常说到
[8:07-8:09] 消费它是收入的结果
[8:09-8:11] 是收入的函数
[8:11-8:13] 所以可能也需要
[8:13-8:15] 老百姓的收入预期变好
[8:15-8:17] 但是谈到这个话题
[8:17-8:19] 有可能会进入了一个
[8:19-8:19] 鸡生蛋
[8:19-8:20] 蛋生鸡
[8:20-8:23] 如果人人都指望着工作转好了
[8:23-8:25] 那么消费残量好起来
[8:25-8:27] 岂不是意味着短期
[8:27-8:32] 没有太多可以针对消费实施的政策
[8:32-8:34] 因为人为的去刺激它
[8:34-8:36] 给一些比如说已旧换新
[8:36-8:37] 给一些消费券
[8:37-8:39] 是不是不长久
[8:39-8:40] 但我想了
[8:40-8:45] 其实纵观中国的储蓄率的变化
[8:45-8:47] 横向比较中国和其他的
[8:47-8:50] 比如说东亚经济体的储蓄文化的变迁
[8:50-8:53] 可以发现收入影响消费不假
[8:53-8:55] 但是收入有两种
[8:55-8:57] 一种是初次分配的收入
[8:57-8:59] 在座香港金融界的各位朋友
[8:59-9:01] 你的雇主给你的钱
[9:01-9:03] 这个政府一般不干预
[9:03-9:06] 它是效率优先的分配
[9:06-9:07] 但是另一块收入
[9:07-9:10] 则是考虑到再分配之后的
[9:10-9:12] 有了社保
[9:12-9:13] 无险一金
[9:13-9:17] 有了这些从财政的转移支付
[9:17-9:20] 之后大家享受到的福利机制
[9:20-9:22] 这块的收入预期
[9:22-9:25] 实际上也是影响储蓄率的关键
[9:25-9:26] 比如说我们就发现
[9:26-9:31] 但凡是社会保障夯实的比较强的省份
[9:31-9:33] 它的储蓄率就比较低
[9:33-9:35] 消费率就比较高
[9:35-9:36] 这就显示了
[9:36-9:38] 虽然消费它是收入的结果
[9:38-9:40] 但收入是有两种的
[9:40-9:41] 考虑到再分配
[9:41-9:43] 其实是有政策
[9:43-9:44] 可以影响收入
[9:44-9:46] 影响居民消费倾向的
[9:46-9:48] 那么具体而言
[9:48-9:50] 我们现在可以看到的就是
[9:50-9:52] 在一些场合
[9:52-9:55] 已经出现了要进一步的重视
[9:55-9:57] 对中低收入群体
[9:57-9:59] 特别是农民和农民工
[9:59-10:02] 它的边际消费倾向低
[10:02-10:03] 储蓄率比较高
[10:03-10:05] 那怎么去释放他们的消费潜力
[10:05-10:08] 就是要逐渐的把它们纳入到
[10:08-10:11] 更加完善合理的社会保障体系里面
[10:11-10:12] 让他们享受到的
[10:12-10:14] 比如说社保养老
[10:14-10:16] 比如说异地医保的秩序
[10:16-10:18] 比如说小孩就近的入园
[10:18-10:20] 比如说保障型住房
[10:20-10:21] 渐进的缩小
[10:21-10:23] 跟城里正式之工
[10:23-10:24] 国取雇员之间的差距
[10:24-10:27] 这样才能释放他们的消费潜力
[10:27-10:30] 这块也是我们对十五五规划
[10:30-10:33] 如何具体的落实提振消费
[10:33-10:34] 最看重的一环
[10:34-10:37] 如何使得广大三点几亿的
[10:37-10:39] 灵活就业和外出农民工
[10:39-10:41] 他得到的消费保障
[10:41-10:42] 进一步的夯实
[10:42-10:43] 社会保障
[10:43-10:45] 对他们的收入预期
[10:45-10:47] 会起到至关重要的作用
[10:47-10:49] 那为什么讲这一点呢
[10:49-10:52] 是因为当前的全球竞争格局
[10:52-10:54] 其实总结下来
[10:54-10:56] 那么既有新制生产力
[10:56-10:59] AI也有产业链和能源自给自足
[10:59-11:00] 能源绿色转型
[11:00-11:02] 这两块都是
[11:02-11:05] 我们把它称之为超级周期
[11:05-11:06] 在这两块呢
[11:06-11:09] 中国都有自身比较强的一面
[11:09-11:11] 但是我们也知道
[11:11-11:13] 光靠新制生产力
[11:13-11:14] 光靠产业链的齐全
[11:14-11:17] 还不足以打破刚才提到的K型经济
[11:17-11:19] 分化等问题
[11:19-11:22] 以历史上五次工业革命为例
[11:22-11:24] 每一次技术变革
[11:24-11:26] 一定将来能带来生产率的提升
[11:26-11:28] 但是在初期
[11:28-11:32] 有可能它会影响到很多现有人的就业
[11:32-11:35] 那么它对整体大家的就业心态
[11:35-11:38] 在社会的秩序以及人伦心理的影响
[11:38-11:40] 如何去化解
[11:40-11:42] 实际上就是要探索
[11:42-11:45] 如何去适应新制生产力的特点的
[11:45-11:47] 生产关系的创新
[11:47-11:53] 我想很多在经历了1929到1933年
[11:53-11:53] 上个世纪
[11:53-11:56] 接近一百多年前的大萧条时代
[11:56-11:58] 资本主义的种种弊端之后
[11:58-12:01] 也会发现从一些福利机制
[12:01-12:04] 保护机制上出现了很多的创新
[12:04-12:06] 那同样今天的AI
[12:06-12:10] 它是第五次第六次工业革命
[12:10-12:12] 它其实扩散的速度
[12:12-12:15] 会比历史上的历次革命还要来得快
[12:15-12:17] 在这个过程中可能影响就业
[12:17-12:19] 那造成的这种替代效应
[12:19-12:20] 如何去处理
[12:20-12:23] 那么中国当然有优势
[12:23-12:25] 比如说AI在现阶段
[12:25-12:27] 似乎更多的是去替代部分的
[12:27-12:30] 白领专业服务业的岗位
[12:30-12:31] 那么中国呢
[12:31-12:33] 还是从就业的层次中
[12:33-12:36] 更多的是比如说南岭工厂
[12:36-12:39] 以及中低端劳动密集性的服务业
[12:39-12:41] 这些暂时还没有受到AI
[12:41-12:44] 一杆见影的冲击
[12:44-12:45] 可能相对来讲
[12:45-12:47] 美国这块受到的影响更大
[12:47-12:49] 根据我们的调研
[12:49-12:51] 美国的总体劳动力人口中
[12:51-12:54] 有40%处于类似的专业服务业
[12:54-12:57] 更容易受到AI的冲击
[12:57-12:58] 所以对美国来讲呢
[12:58-13:00] AI也是一个很大的挑战
[13:00-13:03] 这也不得不谈到中美的AI竞赛
[13:03-13:04] 进入了2.0阶段
[13:04-13:06] 可能比的不仅仅是
[13:06-13:08] 谁有最好的模型
[13:08-13:10] 谁有更强的算力
[13:10-13:13] 谁有更好的这种能源供应体系
[13:13-13:14] 这些都很重要
[13:14-13:17] 但是最终AI竞争的尽头
[13:17-13:18] 也是谁的体系
[13:18-13:19] 更适合去应对
[13:19-13:21] AI带来的社会挑战
[13:21-13:23] 这方面中国显然有经验
[13:23-13:26] 美国已经出现了很多思潮
[13:26-13:27] 在各个州呢
[13:27-13:30] 开始出现了所谓的零币
[13:30-13:32] 就是反对建AI算力中心
[13:32-13:34] 觉得既不呆动当地的就业
[13:34-13:37] 反而引发了电价水价的上涨
[13:37-13:38] 交通拥堵等等
[13:38-13:40] 所以别看美国的大厂
[13:40-13:42] 提出了凶心勃勃的
[13:42-13:44] 一年投资于1万美元的
[13:44-13:46] AI算力中心的投入计划
[13:46-13:48] 但最近我们分析发现
[13:48-13:49] 纷纷遇上了
[13:49-13:51] 现实世界的物理瓶颈
[13:51-13:52] 光去年一年
[13:52-13:54] 美国的AI投资当中
[13:54-13:56] 就有接近四分之一
[13:56-13:59] 1600亿美元的项目
[13:59-14:00] 要么就是被搁置
[14:00-14:02] 要么就彻底流产
[14:02-14:04] 因为各个州各个地方反对它
[14:04-14:06] 反对有三个原因
[14:06-14:06] 一个就是电
[14:06-14:09] 觉得当地电网本来就不足
[14:09-14:10] 基础设施落后
[14:10-14:11] AI这么耗电
[14:11-14:13] 引发了电价的大幅飙升
[14:13-14:15] 在美国通胀指标中
[14:15-14:17] 电现在是最有年性的
[14:17-14:19] 引发了老百姓的不满
[14:19-14:21] 第二则是环境土地
[14:21-14:23] 以及不带动就业
[14:23-14:24] 第三呢
[14:24-14:26] 各地在出一些法规
[14:26-14:28] 大家也看到新闻媒体上报道了
[14:28-14:29] 美国的一些州
[14:29-14:30] 包括纽约州
[14:30-14:31] 刚刚推出法规
[14:31-14:33] 全州范围内暂停一年
[14:33-14:36] 关于AI算力中心的建设
[14:36-14:38] 所以美国尽管这些大厂
[14:38-14:39] 还是雄心勃勃
[14:39-14:41] 但是在面临物理世界
[14:41-14:42] 缺电
[14:42-14:43] 扫地的制约
[14:43-14:45] 以及在法规上
[14:45-14:46] 大家审批比较慢
[14:46-14:48] 那么这些政治的内耗
[14:48-14:49] 会拖慢
[14:49-14:51] 美国AI算力的建设
[14:51-14:52] 相比来讲
[14:52-14:54] 中国显然有这方面的优势
[14:54-14:55] 我们体制上
[14:55-14:56] 发挥巨大的
[14:56-14:57] 集约
[14:57-14:59] 有效的集群
[14:59-15:00] 通过刚才
[15:00-15:02] 院士也提到的六张网里面
[15:02-15:03] 最核心的第一张网
[15:03-15:04] AI算力网
[15:04-15:05] 来更好的布局
[15:05-15:07] 这方面是有非常强的优势
[15:07-15:10] 而且中国远远不缺电
[15:10-15:11] 在能源转型方面
[15:11-15:14] 已经走在了世界的前列
[15:14-15:16] 然而更关键的就是
[15:16-15:17] 当我们解决了
[15:17-15:20] 模型算力电力等等问题之后
[15:20-15:22] 最终要对比的是
[15:22-15:23] 中美以及全球各国
[15:23-15:24] 谁能够适应
[15:24-15:26] AI时代的新的
[15:26-15:28] 这种新制生产力
[15:28-15:30] 不太拉动就业
[15:30-15:31] 过于资本密集型
[15:31-15:35] 怎么去进行生产关系的探索
[15:35-15:37] 创新去应对它
[15:37-15:38] 这方面中国有经验
[15:38-15:41] 如果趁此时机加大
[15:41-15:43] 对包括年轻人在内的
[15:43-15:44] 灵活就业人士
[15:44-15:45] 外出农民工的
[15:45-15:46] 社会保障福利的
[15:46-15:47] 夯实
[15:47-15:48] 编辑一个更好的
[15:48-15:50] 社会安全网
[15:50-15:51] 就有利于去应对
[15:51-15:52] 未来世界
[15:52-15:53] AI造成的影响
[15:53-15:55] 所以我想
[15:55-15:56] 大家都高度关注
[15:56-15:58] 经历了今年上半年
[15:58-15:59] 经济有一些波动
[15:59-16:01] 二季度呈现出更明显的
[16:01-16:02] K型分化
[16:02-16:04] 尽管我们有优势的地方
[16:04-16:07] 从AI竞争到能源转型
[16:07-16:09] 中国从各个层面
[16:09-16:10] 在全球可以说是
[16:10-16:12] 为爱的跟美国一样
[16:12-16:15] 引领全球创新的先进经济体
[16:15-16:16] 但是我们也面临着
[16:16-16:19] 深度的内需依然比较疲软
[16:19-16:21] 消费有待提升
[16:21-16:23] 这方面解决之道是什么
[16:23-16:25] 从短中期来讲
[16:25-16:28] 需要房地产通过贴岸街
[16:28-16:29] 收库存
[16:29-16:31] 保住体的一些路径
[16:31-16:33] 让它尽早的迎来
[16:33-16:34] 止跌回稳
[16:34-16:36] 但是更中长线来讲
[16:36-16:38] 还是社会保障的夯实
[16:38-16:39] 来释放消费潜力
[16:39-16:41] 我想如果做到这一点
[16:41-16:43] 对于下半年和明年
[16:43-16:45] 中国资产在全球的竞争力
[16:45-16:49] 大家会心中更有这方面的认知
[16:49-16:50] 我刚刚结束了
[16:50-16:52] 为期十天的欧洲之行
[16:52-16:54] 那很多大的主权基金
[16:54-16:56] 养老金对于中国资产
[16:56-16:57] 充满兴趣
[16:57-16:59] 但是他们也实话实讲
[16:59-17:02] 感觉到在K型经济风化的局面下
[17:02-17:04] 似乎全球的投资者
[17:04-17:06] 包括中国自身的投资者
[17:06-17:08] 都在高度一致的
[17:08-17:10] 认同K向上的那一撇
[17:10-17:12] 包括了一些AI算力
[17:12-17:12] 国产化
[17:12-17:16] 这些先进的能源转型等板块
[17:16-17:18] 但毕竟他们占总体经济
[17:18-17:21] 总体的市场的大盘的比例偏低
[17:21-17:25] 如果类需消费地产等传统板块
[17:25-17:26] 依然面临调整
[17:26-17:29] 那么海外的这些外资外企
[17:29-17:30] 在中国布局的时候
[17:30-17:32] 多多少少也束手束脚
[17:32-17:35] 但我想全球来讲
[17:35-17:38] 中国其实有很多资产
[17:38-17:40] 很多行业都具备了
[17:40-17:42] 我们经常提到的黑漏资产
[17:42-17:44] 就是有非常高的壁垒
[17:44-17:45] 中国处于在这方面
[17:45-17:48] 引领全球制造业环节的升级
[17:48-17:49] 具有在下一阶段
[17:49-17:53] 不被AI替代的重资产的特点
[17:53-17:56] 但是就需要有一个更好的契机
[17:56-17:57] 吸引外资的流入
[17:57-18:00] 那我这次经历的
[18:00-18:02] 从2月份到7月份之间
[18:02-18:04] 每一战争油价上涨以来
[18:04-18:07] 发现各个国家处理油价上涨
[18:07-18:08] 是截然不同的路径
[18:08-18:12] 那么美国是靠着自己产油产气
[18:12-18:14] 以及此前有一些战略库存
[18:14-18:16] 不断地用库存
[18:16-18:17] 耗库存
[18:17-18:19] 甚至出口来赚钱
[18:19-18:21] 但是现在可以看到
[18:21-18:23] 美国的原油战略储备
[18:23-18:26] 已经降到了只有3.2亿桶
[18:26-18:28] 这是43年以来的最低点
[18:28-18:29] 也就是说过去5个月
[18:29-18:31] 它在不断地出库存
[18:31-18:33] 越来越接近低位的水平了
[18:33-18:37] 而欧洲也面临进口的
[18:37-18:38] 油和气的短缺
[18:38-18:41] 尤其是最近全球天气不平静
[18:41-18:43] 出现了超级厄尔利路的现象
[18:43-18:45] 在这个过程中
[18:45-18:46] 欧洲这个夏天
[18:46-18:48] 已经出现了三次热浪
[18:48-18:50] 它的每天的平均气温
[18:50-18:52] 高于历史均值三度
[18:52-18:53] 包括莱茵河在内的
[18:53-18:55] 这些主要河流的水位
[18:55-18:57] 创出几十年来的最低位
[18:57-18:59] 但欧洲呢
[18:59-19:02] 它由于本身就面临油气的
[19:02-19:03] 供给的冲击
[19:03-19:05] 再叠加欧洲老旧的基础设施
[19:05-19:06] 和审批的难度
[19:06-19:08] 我在欧洲出差最大的难点
[19:08-19:09] 就是没有空调
[19:09-19:10] 大家热得舍不了
[19:10-19:13] 请有不到五分之一的欧洲家庭
[19:13-19:15] 享受到过空调
[19:15-19:16] 所以这个过程中
[19:16-19:17] 大家可以想象一下
[19:17-19:20] 中国是怎么度过这四五个月的
[19:20-19:21] 中国没有缺电
[19:21-19:22] 少空调
[19:22-19:25] 中国也没有大幅的动用战略储备
[19:25-19:27] 实际上靠的就是
[19:27-19:28] 绿色能源转型
[19:28-19:29] 由于新能源
[19:29-19:31] 不管是新能源汽车
[19:31-19:33] 还是电网上的绿色发电
[19:33-19:34] 还是储能
[19:34-19:35] 这块起到的重要作用
[19:35-19:37] 中国安然度过了
[19:37-19:40] 长达五个月的能源冲击
[19:40-19:42] 所以反观美国是靠耗库存
[19:42-19:44] 欧洲是靠不用空调
[19:44-19:45] 忍着热
[19:45-19:50] 中国是靠绿色转型来实现的应对能源冲击
[19:50-19:51] 我们心里有底气
[19:51-19:54] 中国在下一阶段的技术革命
[19:54-19:55] 能源革命中
[19:55-19:57] 依然有非常强的底牌
[19:57-19:58] 可以引领全球
[19:58-20:02] 但是要做到让外资外企更积极的配置
[20:02-20:04] 也需要K型经济向下的一撇
[20:04-20:06] 比较凝重的这条腿
[20:06-20:07] 类虚和消费起来
[20:07-20:10] 所以我们也热切的期盼
[20:10-20:11] 在经历了15五规划
[20:11-20:15] 对于消费提升的这五年规划之后
[20:15-20:17] 再到7月底的政治局会议
[20:17-20:19] 对后面社会保障
[20:19-20:20] 房地产企稳
[20:20-20:21] 提振消费
[20:21-20:22] 各方面的政策
[20:22-20:24] 逐渐的落实到位之后
[20:24-20:26] 可能中国经济迎来更好的
[20:26-20:27] 吸引外资外企
[20:27-20:30] 大幅的真金白银流入的空间
[20:30-20:31] 这个过程中
[20:31-20:33] 香港扮演的金融中心的作用
[20:33-20:35] 肯定会进一步的得到强化
[20:35-20:37] 在上个礼拜二
[20:37-20:39] 人民银行行长
[20:39-20:40] 潘行长来香港
[20:40-20:42] 也释放了一系列
[20:42-20:43] 进一步的夯实
[20:43-20:45] 香港作为人民币国际化
[20:45-20:47] 金融中心地位的新政
[20:47-20:48] 特别明显的就是
[20:48-20:50] 在包括在座的
[20:50-20:52] 李小嘉主席首创的
[20:52-20:54] 那么护港通
[20:54-20:56] 深港通
[20:56-21:00] 在股票上联系了大陆和全球市场
[21:00-21:03] 紧接着在九年前又创建了债市通
[21:03-21:05] 债市通进入了第九年
[21:05-21:09] 其实全球资金是希望着中国的拽钱市场
[21:09-21:12] 从简简单单的开放了到更好用
[21:12-21:15] 从简单的大家能买卖了
[21:15-21:17] 到能持有作为储备资产
[21:17-21:19] 长期的持有人民币
[21:19-21:22] 这个过程中人民行来宣读的一系列政策
[21:22-21:24] 实际上是针对国债
[21:24-21:26] 现在不仅老外能买了
[21:26-21:28] 能不能做对冲
[21:28-21:29] 做掉期
[21:29-21:30] 管理风险
[21:30-21:33] 这块提供了很多新政
[21:33-21:34] 我相信了
[21:34-21:35] 在这个过程中
[21:35-21:36] 也符合最近
[21:36-21:39] 针对香港金融市场的一个新的举项
[21:39-21:43] 尽管在近期有很多部委联合出台了一些
[21:43-21:47] 对中国对外投资进行加强监管的新规
[21:47-21:51] 但是在赌片门的时候一定会开正门
[21:51-21:55] 因为中国一年一点几万亿美元的贸易顺差
[21:55-21:59] 这些钱显然也有必要在全球更好的布局
[21:59-22:00] 获得更好的回报
[22:00-22:03] 也支持中国企业在出海的过程中
[22:03-22:06] 参与全球新制生产力的大循环
[22:06-22:07] 所以我想
[22:07-22:09] 上周二宣布的一系列
[22:09-22:11] 支持香港人民币国际化的政策
[22:11-22:12] 应该只是序曲
[22:12-22:14] 在未来几年
[22:14-22:15] 香港从互联互通机制上
[22:15-22:19] 应该能享受到更强的超级年轻人的作用
[22:19-22:23] 这是我对中国经济和香港扮演的作用的一点浅介
[22:23-22:24] 简单的汇报到此
[22:24-22:25] 谢谢
