[0:00-0:02] 朋友们 咱们今天来一口气儿拆解一下
[0:02-0:05] 这个错综复杂的美国AI资本圈
[1:30-1:32] 最最最最最大的公司
[1:32-1:34] 估值怎么着你得千亿美元以上
[1:34-1:36] 你像什么FigureAI
[1:36-1:37] CoreWeave
[1:37-1:37] 这些小公司
[1:37-1:39] 上不了咱们今天的牌桌
[1:39-1:41] 反正大概就是这么三个标准
[1:41-1:42] 我就选出来了这些公司
[1:43-1:43] 好
[1:43-1:45] 那这些公司在AI产业链里
[1:45-1:46] 是个什么关系
[1:46-1:47] 谁和谁是竞争
[1:47-1:48] 谁和谁是上下游呢
[1:50-1:50] 笼统地说
[1:50-1:52] AI产业链从上游到下游
[1:52-1:53] 可以分这么四层
[1:53-1:55] 最底层是芯片层
[1:55-1:57] 什么GPU CPU 存储芯片
[1:57-1:58] 都在这里边
[1:58-2:00] 那英伟达显然是这一层的王者
[2:00-2:02] AI加速器的施展率能有80% 90%
[2:02-2:03] 除此之外
[2:03-2:04] 还有AMD
[2:04-2:04] 英特尔
[2:04-2:06] 谷歌也有自己针对AI训练研发的
[2:06-2:07] TPU
[2:07-2:08] 数量非常庞大
[2:08-2:09] 26年
[2:09-2:10] 预计能产超过300万颗
[2:10-2:11] 像它的那个Gem9
[2:11-2:13] 主要就是靠TPU训练
[2:13-2:13] 亚马逊
[2:13-2:15] 也有自研的AI芯片
[2:15-2:15] 吹面
[2:15-2:16] 虽然优化做得也不错
[2:16-2:18] 但目前总量还没有很大
[2:18-2:19] 还有一个很厉害的玩家
[2:19-2:20] 就是博通
[2:20-2:22] 它是ASIC芯片的把主
[2:22-2:24] 咱们刚才说谷歌的TPU
[2:24-2:25] 包括Meta的芯片
[2:25-2:26] 都是跟博通合作生产
[2:26-2:27] 大概是这些玩家
[2:27-2:28] 其实其他巨头
[2:28-2:30] 多多少少也都有自己自研的AI芯片
[2:30-2:32] 但还没太成气候
[2:32-2:33] 我们就先不说了
[2:33-2:33] 再往上呢
[2:33-2:35] 是数据中心和云计算层
[2:35-2:37] 这俩一对一起呢
[2:37-2:38] 其实不太严谨
[2:38-2:39] 但咱们就简化把它合并来看
[2:39-2:41] 反正就是一大堆AI芯片
[2:41-2:41] 放在一起
[2:41-2:42] 提供算理的
[2:42-2:44] 云计算这三大巨头
[2:44-2:45] 大家都很熟悉了
[2:45-2:45] 亚马逊
[2:45-2:46] AWS
[2:46-2:47] 微软的Azure
[2:47-2:48] 还有谷歌的Google Cloud
[2:48-2:49] 除此之外呢
[2:49-2:50] 甲骨文
[2:50-2:51] 这两年在数据中心这也很猛
[2:51-2:53] 这个SpaceX AI
[2:53-2:55] 也建了非常大的数据中心
[2:55-2:56] Closus一期和二期
[2:56-2:58] 现在马斯克还号称要去太空上
[2:58-2:59] 建全球
[2:59-3:01] 或者说全太阳系最大的数据中心
[3:01-3:02] 然后呢
[3:02-3:03] 就是大模型公司了
[3:03-3:03] 这一层
[3:03-3:04] 市占率
[3:04-3:05] 断层领先的三巨头
[3:05-3:06] OpenAI
[3:06-3:07] Anthropic
[3:07-3:08] 还有谷歌的Jam9
[3:08-3:09] 这个Anthropic
[3:09-3:11] 可能有些朋友没那么熟
[3:11-3:12] 发音还挺费劲的
[3:12-3:13] 它就是Cloud
[3:13-3:14] 那个大模型背后的公司
[3:14-3:14] 我跟你说
[3:14-3:15] 它最近这半年
[3:15-3:17] 发展势头极其迅猛
[3:17-3:18] 刚刚五月份一轮融资
[3:18-3:20] 估值已经超过了OpenAI
[3:20-3:22] 达到了9650亿美元
[3:22-3:23] 无限逼近万亿市值
[3:23-3:24] 你看啊
[3:25-3:26] 一个非常常用的指标
[3:26-3:27] 叫做
[3:29-3:31] 年化经常性收入
[3:31-3:32] 你可以大概理解成一个
[3:32-3:33] 估算的年收入
[3:33-3:34] 这个Anthropic
[3:34-3:35] 虽然它用户量
[3:35-3:36] 肯定还没有OpenAI多
[3:36-3:37] 但它的营收
[3:37-3:38] 它这个ARR
[3:38-3:40] 15个月里翻了30倍
[3:40-3:41] 今年4月份是300亿
[3:41-3:43] 5月份就达到了470亿
[3:43-3:44] 也就是说
[3:44-3:45] 虽然它的用户少
[3:45-3:46] 但更赚钱
[3:46-3:46] 而且还在以
[3:46-3:48] 火箭般的速度上升
[3:48-3:48] 总之
[3:48-3:50] 这个就是大模型层的
[3:50-3:50] 三个主要玩家
[3:50-3:52] 其他巨头肯定也是
[3:52-3:53] 人人都有自己的大模型了
[3:53-3:54] 但从市占率上
[3:54-3:55] 还拼不过这三位
[3:55-3:57] 再往上一层就是应用层
[3:57-3:58] 这些大模型公司也都在做
[3:58-3:59] 好
[3:59-4:00] 这个就是巨头们
[4:00-4:01] 在AI产业链上的
[4:01-4:01] 一个大致的分布
[4:04-4:05] 注意啊
[4:05-4:06] 我说的都是它们
[4:06-4:08] 比较成气候的主营业务
[4:08-4:08] 比如说英伟达
[4:08-4:10] 其实每个都做点
[4:10-4:11] Meta也有自己的芯片
[4:11-4:12] 就我们这张幅
[4:12-4:14] 先只看核心部分
[4:14-4:14] 好
[4:14-4:14] 那接下来
[4:14-4:15] 我们就看它们之间的
[4:15-4:16] 这个投资合作了
[4:18-4:19] 咱们从哪开始看呢
[4:19-4:20] 这些大模型公司里
[4:20-4:22] 其实最最最最核心的
[4:22-4:23] 站在资本中央的
[4:23-4:24] 就是这两家公司
[4:24-4:26] OpenAI和Anthropic
[4:26-4:28] 你看其他都是大厂
[4:28-4:28] 只有它俩
[4:28-4:29] 是独立的
[4:29-4:30] 纯大模型公司
[4:30-4:31] 而且模型能力
[4:31-4:32] 人才实力
[4:32-4:33] 一直也都是全球第一梯队
[4:33-4:34] 所以呢
[4:34-4:35] 这个股权投资
[4:35-4:36] 很主要的一部分
[4:36-4:37] 就是围绕着它俩展开
[4:37-4:38] 其实谷歌
[4:38-4:38] GM奶
[4:38-4:39] 它也很强
[4:39-4:40] 但是它背靠谷歌呀
[4:40-4:41] 又不缺钱
[4:41-4:42] 又不缺算力
[4:42-4:43] 谷歌也不愿意让人进来
[4:43-4:44] 所以资本圈
[4:44-4:45] 主要还是围绕着
[4:45-4:46] OA这两位
[4:47-4:49] 我们知道早期
[4:49-4:50] 其实都是OpenAI的天下
[4:50-4:51] 属于独一党的存在
[4:51-4:52] 它背后
[4:52-4:53] 著名的投资人
[4:54-4:55] 微软
[4:55-4:56] 早早入局
[4:56-4:56] 到现在
[4:56-4:57] 前前后后
[4:57-4:58] 一共投了130亿美元
[4:58-4:59] 占股大概27%
[5:01-5:02] 你要知道
[5:02-5:03] OpenAI现在的估值
[5:03-5:05] 已经有大概8500亿美元
[5:05-5:06] 也就是说
[5:06-5:07] 微软手上股权的估值
[5:07-5:09] 大概是2290亿美元
[5:09-5:10] 单就准投资的角度看
[5:10-5:12] 微软已经在这儿赚了17倍了
[5:12-5:13] 那作为对比呢
[5:13-5:15] 软银的孙正义
[5:15-5:15] 在OpenAI身上
[5:15-5:17] 已经投了超过600亿美元
[5:17-5:18] 是微软的四五倍
[5:18-5:20] 却拿到了OpenAI股权
[5:20-5:21] 只有13%左右
[5:21-5:22] 还不到微软的一半
[5:22-5:23] 你可见微软这块
[5:23-5:24] 老气的押宝还是很成功的
[5:24-5:26] 顺便说一嘴
[5:26-5:27] 软银这个孙正义
[5:27-5:27] 当时为了凑
[5:27-5:28] 投OpenAI这笔钱
[5:28-5:30] 把手上58亿美元的
[5:30-5:31] 英伟达股票
[5:31-5:32] 全给清藏了
[5:32-5:33] 他后来自己
[5:33-5:34] 也在投资者会议上都说了
[5:34-5:36] 说我非常地尊重黄胜勋
[5:36-5:37] 我非常地尊重英伟达
[5:37-5:39] 我是哭着把英伟达给卖掉的
[5:40-5:42] 也正是因为微软
[5:42-5:43] 在OpenAI这儿的股份非常高
[5:43-5:44] 那作为另一大巨头
[5:44-5:45] 亚马逊
[5:45-5:46] 当时就觉得
[5:46-5:47] 再赶过去投这个OpenAI
[5:47-5:48] 没啥意思了
[5:48-5:49] 怎么办呢
[5:49-5:51] 我就赶紧扶持了他的竞争对手
[5:51-5:52] Anthropec
[5:52-5:55] 亚马逊早在2023年
[5:55-5:56] 就投了他40亿美元
[5:56-5:57] 24年又跟了40亿
[5:57-5:59] 也是Anthropec最早的那批投资人
[5:59-6:01] 但有意思的来了
[6:01-6:02] 后来这个亚马逊
[6:02-6:03] 他换思路了
[6:03-6:03] 他干了什么呢
[6:03-6:05] 今年OpenAI和Anthropec
[6:05-6:06] 都进行了一轮大规模融资
[6:06-6:07] 而亚马逊
[6:07-6:08] 都是他们俩
[6:08-6:10] 最核心的外部投资人质疑
[6:10-6:11] 承诺OpenAI这边最多500亿
[6:11-6:13] Anthropec追加最多250亿
[6:13-6:14] 我想明白了
[6:14-6:15] 我不站边了
[6:15-6:16] 难道单押也算押
[6:16-6:17] 我豁出去了
[6:17-6:18] 我来个双亚
[6:19-6:20] 所以你会发现
[6:20-6:21] 这些大厂里边
[6:21-6:22] 微软和亚马逊
[6:22-6:23] 都没有自己的那种
[6:23-6:24] 非常出圈的大模型
[6:24-6:26] 因为他俩其实都叨叨入股了
[6:26-6:27] 大模型公司
[6:27-6:28] 我就不费那么大劲自演了
[6:28-6:30] 我主打一个扶持
[6:30-6:31] 那谷歌呢
[6:33-6:35] 早期他也和亚马逊一样
[6:35-6:35] 投了Anthropec
[6:35-6:36] 不过不多
[6:36-6:38] 每笔都是几亿几亿这个规模
[6:38-6:40] 了解投资圈的朋友可能知道
[6:40-6:41] 这种
[6:41-6:42] 一般亚哥就不是为了投资
[6:42-6:43] 我就想给你交个朋友
[6:43-6:44] 咱们先认识一下
[6:44-6:45] 谷歌的重心
[6:45-6:47] 还是放在研发自己的Gem9上
[6:48-6:49] 那后来呢
[6:49-6:49] 这个Anthropec
[6:49-6:51] 发展实在是太快了
[6:51-6:52] 不光没被OpenAI甩下来
[6:52-6:53] 反倒又追赶上来的势头
[6:53-6:55] 尤其是Cloud Code的一出圈
[6:55-6:56] 好家伙一飞冲天
[6:56-6:57] 那对谷歌来说怎么办呢
[6:57-6:59] 这两个竞争对手都这么变态
[6:59-7:02] 我要是全都压住在自己的Gem9上
[7:02-7:03] 风险太高了
[7:03-7:04] 所以他开始
[7:04-7:05] 虽然没有大规模的投资
[7:05-7:06] 但我可以怎么样呢
[7:06-7:08] 我可以跟你合作
[7:08-7:09] 我卖给你服务
[7:09-7:10] 你来
[7:10-7:11] 你不是缺算力吗
[7:11-7:12] 咱们这儿这个TPU
[7:12-7:12] 好
[7:12-7:13] 我可以便宜点租给你
[7:13-7:14] 咱先交个朋友
[7:14-7:16] 以后有什么好事记得带上我
[7:18-7:19] 去年10月份
[7:19-7:20] 双方谷歌和Anthropec
[7:20-7:21] 就宣布了大规模合作
[7:21-7:23] 谷歌最多提供100万颗
[7:23-7:24] 定制的TPU芯片
[7:24-7:26] 新增超过一几瓦的算力
[7:26-7:28] 而随着今年Anthropec爆火
[7:28-7:29] 谷歌忍不了
[7:29-7:30] 不暧昧了
[7:30-7:31] 亲儿子Gem9不好意思了
[7:31-7:33] 我去跟Anthropec抱在一起了
[7:34-7:35] 4月24号
[7:35-7:37] 宣布投资最多400亿美元
[7:37-7:38] 还要在未来五年内
[7:38-7:39] 提供五几瓦的算力
[7:40-7:41] 围绕这两家
[7:41-7:43] 核心大模型公司的投资还没完
[7:43-7:46] 还有一个非常重要的重要玩家
[7:46-7:47] 就是英伟达
[7:47-7:48] 英伟达跟OpenAI
[7:48-7:51] 签了300亿美元的战略合作意向书
[7:51-7:52] 那什么叫战略合作意向书呢
[7:52-7:54] 就是我可以给你投300亿
[7:54-7:55] 但前提是
[7:55-7:57] 你得用我多少多少的GPU
[7:57-7:58] 用我的芯片
[7:58-7:59] 其实这笔投资
[7:59-8:00] 本来最高有1000亿美元
[8:00-8:02] 但是OpenAI的估值实在是太高了
[8:02-8:04] 说白了就是英伟达上车上的
[8:04-8:05] 有点太晚了
[8:05-8:06] OpenAI已经太贵了
[8:06-8:07] Anthropec这边
[8:07-8:08] 黄仁勋说过
[8:08-8:10] 最多要战略投资100亿美元
[8:10-8:11] 但目前还没敲定
[8:11-8:12] 其实老黄呢
[8:12-8:13] 他在4月份有一个播客的时候
[8:13-8:14] 就自己承认
[8:14-8:16] 说上车晚了
[8:16-8:16] 所以
[8:16-8:19] 围绕这两家公司投资的一个大致格局
[8:19-8:20] 我们非常非常笼统地来说
[8:20-8:21] 是这样的
[8:22-8:24] 微软跟OpenAI是一边的
[8:24-8:26] 但有点被OpenAI给变原化了
[8:26-8:28] 他也在和Anthropec搞暧昧
[8:28-8:29] 谷歌是Anthropec这边的
[8:29-8:30] 真没得说
[8:30-8:31] 亚马逊
[8:31-8:33] 最开始是独宠Anthropec
[8:33-8:35] 但今年两边都开始萌萌投资
[8:35-8:36] 他玩的是双亚
[8:36-8:37] 英伟达呢
[8:37-8:38] 主局晚了
[8:38-8:39] 两边都投了一点
[8:39-8:40] OpenAI更多
[8:40-8:41] SpaceX和Meta
[8:41-8:43] 现在还没有明显的投资占边
[8:43-8:45] 但要补充一点是什么呢
[8:45-8:47] 马斯克跟OpenAI的关系
[8:47-8:48] 那是出了名的差
[8:48-8:49] 所以他即便要占边
[8:49-8:50] 也一定是Anthropec
[8:50-8:51] 其实最近也开始有大动作了
[8:51-8:52] 这个我们一会再说
[8:52-8:54] 还有我要强调一下
[8:54-8:55] 虽然我们说这些大厂在投资
[8:55-8:57] 但并不是说什么微软谷歌亚马逊
[8:57-8:59] 就是这两家的最大金主
[8:59-9:00] 其实他俩很主要的
[9:00-9:01] 都是财务投资人
[9:01-9:03] 一项软银就投了OpenAI600亿
[9:03-9:03] 还有什么
[9:03-9:04] 阿联酋的基金
[9:04-9:05] 新加坡的基金
[9:05-9:06] 都投了不少钱
[9:06-9:07] 这些纯财务投资
[9:07-9:08] 我们今天也就不多说了
[9:09-9:10] 好
[9:10-9:12] 刚才是围绕着这两边的股权投资
[9:12-9:14] 那上下游的合作呢
[9:14-9:16] 基本上就完全没有什么
[9:16-9:17] 派系的关系了
[9:17-9:18] 大家又不是直接竞争
[9:18-9:19] 都是好伙伴
[9:20-9:22] 微软不光是给OpenAI提供云服务
[9:22-9:24] 也会给Anthropec提供
[9:24-9:25] 亚马逊的AWS
[9:25-9:26] 自然更是两边都满足
[9:26-9:27] 今年年初
[9:27-9:29] 还跟OpenAI签了8年的云服务合同
[9:29-9:30] 谷歌这个TPU
[9:30-9:32] 他倒是主要就服务Anthropec
[9:32-9:33] 把老黄气够抢
[9:33-9:34] 还有马斯克
[9:34-9:35] 非常有戏剧性
[9:35-9:36] 他今年2月26号
[9:36-9:38] 在X上发文骂这个Anthropec
[9:38-9:39] 说他反人类
[9:39-9:40] 邪恶
[9:40-9:41] 用的都是这种杂词
[9:41-9:42] 但是70天之后
[9:42-9:42] 5月6号
[9:42-9:43] 马斯克的SpaceX
[9:43-9:45] 就宣布跟Anthropec合作
[9:45-9:46] 说要给他提供
[9:46-9:47] 22万颗GPU
[9:47-9:48] 这个是个非常大的胆子
[9:48-9:50] 马斯克不是刚骂过人家反人类吗
[9:50-9:52] 赶紧回来给自己打原厂
[9:52-9:54] 他说我其实跟Anthropec的团队聊了聊
[9:54-9:57] 我发现没有人触发我这个邪恶探测器
[9:57-9:59] 也不知道自己之前的词哪来的
[9:59-10:00] 你看这就是AI圈
[10:00-10:02] 如此巨大的利益面前
[10:02-10:03] 打脸就打脸了
[10:03-10:05] 况且敌人的敌人就是我的朋友
[10:05-10:06] 所以现在很明显
[10:06-10:07] Anthropec
[10:07-10:09] 他朋友在数量上是更多的
[10:09-10:10] 是三大云厂商
[10:10-10:11] 唯一的共同选择
[10:11-10:13] 而且还跟SpaceX合作
[10:13-10:14] 而OpenAI这边
[10:14-10:15] 他怎么没那么多合作
[10:15-10:16] 他不是领头养吗
[10:16-10:18] 因为他有那个
[10:18-10:19] 著名的算力项目
[10:19-10:22] Stargate 星际之门
[10:22-10:23] 但这个Stargate
[10:23-10:24] 其实挺戏剧化的
[10:24-10:25] 还不太了解的朋友
[10:25-10:26] 我简单介绍一下
[10:27-10:28] 它是一个
[10:28-10:30] 有史以来最大的数据中新项目
[10:30-10:32] 2025年特朗普一上台
[10:32-10:32] 就牵头
[10:32-10:34] 把OpenAI 软银
[10:34-10:35] 甲骨文的老大
[10:35-10:36] 都凑在白宫里
[10:36-10:37] 非常高调地宣布了这个项目
[10:37-10:39] 号称要造史上规模最大的
[10:39-10:41] 人工智能基础设施计划
[10:42-10:44] 要在美国的德州
[10:44-10:46] 建一个总规模5000亿美元
[10:46-10:48] 十几瓦的超大型数据中心集群
[10:48-10:50] 初始的股权投资呢
[10:50-10:51] 是软银190亿
[10:51-10:52] OpenAI 191
[10:52-10:53] 甲骨文70亿
[10:53-10:55] 阿联酋的MGX 70亿
[10:55-10:56] 这个阿联酋
[10:56-10:57] 跟这三个一比
[10:57-10:58] 是不是显得很突兀
[10:58-10:59] 他跟特朗普的关系
[10:59-11:00] 我们有机会再聊
[11:02-11:02] 那你想
[11:02-11:03] 这么庞大的项目
[11:03-11:05] 肯定首先要满足OpenAI的算力需求
[11:05-11:06] 他甚至还牵头
[11:06-11:07] 要在阿联酋
[11:07-11:08] 英国
[11:08-11:09] 挪威
[11:09-11:09] 哈根廷等等地方
[11:09-11:11] 都要建Stargate项目
[11:11-11:12] 大概就是这么一个庞大的计划
[11:12-11:15] 甚至有人拿它跟马哈论计划相比较
[11:15-11:15] 可当时
[11:15-11:16] 发布当晚
[11:16-11:17] 马斯克他就开队了
[11:17-11:19] 说他们根本没那个钱
[11:19-11:20] 而结果呢
[11:20-11:21] 还真让马斯克给说着了
[11:21-11:23] 这个项目除了初始
[11:23-11:24] 那四位承诺的钱以外
[11:24-11:25] 几乎就没容到
[11:25-11:26] 想要来打投资
[11:26-11:27] 去年12月份
[11:27-11:28] 有媒体就爆料
[11:28-11:29] 这个OpenAI
[11:29-11:29] 甲骨文
[11:29-11:30] 和阮寅
[11:30-11:30] 这三方
[11:30-11:32] 在东京的谈判桌上
[11:32-11:33] 吵得不可开脚
[11:33-11:34] OpenAI就觉得
[11:34-11:35] 我可是咱们仨里的明星啊
[11:35-11:36] 虽然我没钱
[11:36-11:37] 但我应该拥有
[11:37-11:38] 设计权
[11:38-11:39] 和长期的使用权
[11:39-11:40] 甲骨文就觉得呢
[11:40-11:41] 这主要都是我建的呀
[11:41-11:42] 你们得听我的
[11:42-11:43] 阮寅就觉得
[11:43-11:44] 这如果出钱最多
[11:44-11:45] 你们甭管怎么搞
[11:45-11:46] 得保证我的投资回报率啊
[11:46-11:47] 大概就是这意思
[11:47-11:48] 这都我猜的
[11:48-11:49] 你看这个克朗普
[11:49-11:50] 他就管船局
[11:50-11:52] 你倒是指定个老大呀
[11:52-11:53] 他不管
[11:53-11:53] 据说啊
[11:53-11:54] 现在OpenAI内部
[11:54-11:56] 已经实质性放弃了
[11:56-11:57] 所谓星际之门
[11:57-11:58] 这个大型联合项目
[11:58-11:59] 而转变成传统的
[11:59-12:00] 找甲骨文
[12:00-12:01] 找AWS
[12:01-12:02] 我走一个双边合同
[12:02-12:04] OpenAI就是一个简单的租客
[12:04-12:05] 当然它很多项目还在建
[12:05-12:06] 只是说
[12:06-12:07] 这个星际之门
[12:07-12:08] 庞大的愿景
[12:08-12:10] 现在是比较受阻
[12:10-12:11] 变成一个个单独的
[12:11-12:12] 数据中心项目
[12:12-12:13] 你看这就是
[12:13-12:14] AI时代的速度
[12:14-12:15] 千亿美元的项目
[12:15-12:15] 说起就起
[12:15-12:16] 说没就没
[12:16-12:17] 其实甲骨文的股价
[12:18-12:19] 去年下半年开始
[12:19-12:20] 因为星际之门这个项目
[12:20-12:21] 一路风涨
[12:21-12:22] 创始人
[12:22-12:22] Larry Allison
[12:22-12:23] 一度成了世界首富
[12:23-12:24] 后来呢
[12:24-12:25] 也是因为星际之门
[12:25-12:26] 负面的小道消息
[12:26-12:27] 接连爆出
[12:27-12:27] 感觉要黄
[12:27-12:28] 哎
[12:28-12:29] 这股价又毁了
[12:29-12:29] 好
[12:29-12:30] 我们再来看
[12:30-12:30] 底层
[12:30-12:31] 芯片层
[12:31-12:32] 其实要说合作呢
[12:32-12:33] 英伟达
[12:33-12:34] 可以说几乎跟所有人都合作
[12:34-12:36] 谁不需要英伟达的显卡呢
[12:36-12:36] 对吧
[12:36-12:38] 要是这个英伟达跟谁都连上
[12:38-12:39] 我觉得放在组上太乱了
[12:39-12:40] 所以我没加
[12:40-12:41] 大家知道一下就好
[12:42-12:43] 英伟达这两年
[12:43-12:44] 确实混得风生水起
[12:44-12:45] 手里也不差钱
[12:45-12:47] 所以除了投资OpenAI
[12:47-12:48] 承诺投资Anthropic
[12:48-12:50] 然后还在美国政府的牵线下
[12:50-12:51] 投了英特尔50个亿
[12:51-12:52] 还投资了SpaceX20个亿
[12:52-12:53] 除此之外
[12:53-12:54] 他还投了非常多
[12:54-12:56] 小型的AI公司
[12:56-12:57] 当然我说这个小型
[12:57-12:59] 是按咱们今天这个量级来看
[12:59-13:00] 千亿以下的不算小型
[13:01-13:02] 什么CoreWeave
[13:02-13:02] FigureAI
[13:02-13:03] Wave
[13:03-13:03] Mistral
[13:03-13:04] Pokeer等等
[13:04-13:05] 光今年
[13:05-13:05] 承诺投资
[13:05-13:07] 总计就400亿美元左右
[13:07-13:09] 要从一个AI的卖产人
[13:09-13:10] 变成整个产业链的大股东
[13:11-13:12] 那你想
[13:12-13:13] 英伟达这边
[13:13-13:14] 垄断性越强
[13:14-13:16] 作为下游的大模型公司
[13:16-13:16] 它就越不踏实
[13:16-13:18] 那海量的算力需求
[13:18-13:19] 全指制英伟达这么一家公司
[13:19-13:21] 一天到晚得看老黄的脸色
[13:21-13:22] 总归是有点不舒服
[13:22-13:23] 所以大家一方面
[13:23-13:25] 肯定是要和老黄搞好关系
[13:25-13:26] 同时
[13:26-13:27] 还得尽量想办法
[13:27-13:28] 去分散一下风险
[13:28-13:28] 找找备胎
[13:28-13:29] 所以咱们刚才说
[13:29-13:30] Anthropic
[13:30-13:31] 就找到谷歌合作
[13:31-13:32] 用它的TPU
[13:32-13:33] 还跟亚马逊合作
[13:33-13:34] 用它的Train
[13:34-13:35] 而OpenAI
[13:35-13:36] 主要是通过
[13:36-13:37] 各种Stargate项目
[13:37-13:38] 用英伟达的GPU
[13:38-13:39] 所以OA
[13:39-13:40] 这两家大模型公司
[13:40-13:41] 非常笼统地说
[13:41-13:42] OpenAI
[13:42-13:43] 主要用的是英伟达的芯片
[13:43-13:44] 而Anthropic
[13:44-13:45] 主要用的是
[13:45-13:46] 非英伟达的芯片
[13:46-13:48] 有这么一个朦胧的合作情形
[13:48-13:49] 但你可别觉得
[13:49-13:50] 好像英伟达统治力不行了
[13:50-13:51] Anthropic
[13:51-13:52] 属于一个非常个例
[13:52-13:54] 其他大部分算力需求
[13:54-13:55] 基本上都还是会用英伟达的
[13:55-13:56] 它基本上
[13:56-13:57] 还是可以说是垄断的
[13:57-13:58] 这我再强调一下
[13:58-13:59] 怕引起误解
[14:00-14:01] 当然OpenAI
[14:01-14:02] 它也不想在英伟达
[14:02-14:03] 这一棵树上吊死
[14:03-14:04] 所以它一方面
[14:04-14:05] 跟英伟达战略合作
[14:05-14:05] 同时
[14:05-14:07] 还要和博通
[14:07-14:08] 合作自研芯片
[14:08-14:09] 去年年底
[14:09-14:10] 还跟AMD
[14:10-14:11] 谈下了一单超级大合作
[14:12-14:14] AMD在接下来几年
[14:14-14:15] 提供总计6GW的算力
[14:15-14:16] 但同时
[14:16-14:18] 它必须专门为OpenAI
[14:18-14:19] 大型最多
[14:19-14:20] 1.6亿股的
[14:20-14:21] Warrant
[14:21-14:22] 全证
[14:22-14:22] 行权价
[14:22-14:24] 是0.01美元一股
[14:24-14:25] 这什么意思
[14:25-14:26] 有什么玩法
[14:27-14:28] 这就相当于
[14:28-14:29] OpenAI
[14:29-14:30] 可以以一分钱一股的价格
[14:30-14:31] 购买AMD
[14:31-14:32] 1.6亿股的股票
[14:32-14:34] 那就白送它1.6亿股
[14:35-14:36] 当然具体条款
[14:36-14:37] 肯定不是就这么直接送
[14:37-14:38] 它有很多的条件
[14:38-14:39] 细节
[14:39-14:39] 但大概
[14:39-14:40] 你可以理解成是
[14:40-14:41] AMD
[14:41-14:43] 牺牲了自己10%的股权
[14:43-14:45] 去换了OpenAI的一个大订单
[14:45-14:46] 说实话
[14:46-14:47] 对它来说成本还挺高的
[14:47-14:48] 但也没办法
[14:48-14:50] 你要想做到这个最中心的排桌上
[14:50-14:51] 就不得不出点血
[14:51-14:52] 然后紧接着
[14:52-14:53] 今年2月份
[14:53-14:54] Meta
[14:54-14:56] 你是不是发现咱一直还没提Meta
[14:56-14:58] 它终于也有资本市场的大动作了
[14:59-15:00] 它也跟AMD签了协议
[15:00-15:01] 几乎就是
[15:01-15:03] AMD跟OpenAI那个的复刻版
[15:03-15:04] 6几把算力
[15:04-15:05] 换了10%的股权
[15:07-15:07] 看
[15:07-15:09] 这就是总体的一个大框架
[15:09-15:11] 你从结果来看错综复杂
[15:11-15:12] 但我们简单拆解了一下
[15:12-15:14] 每家公司的思考逻辑
[15:14-15:15] 其实也不难理解
[15:15-15:17] AI这么一大桌人
[15:17-15:18] 大家心里其实都清楚
[15:18-15:20] 这种波动剧烈的行业
[15:20-15:21] 你短期赚多少钱
[15:21-15:22] 都还是次要的
[15:22-15:23] 关键是什么
[15:23-15:25] 你得留在这个中心的排桌上
[15:30-15:31] 这排桌上现在有谁
[15:31-15:32] 你看
[15:32-15:34] OpenAI和Anthropic
